timestamp,NO2_GM,C2H5OH_GM,VOC_GM,CO_GM,CO_MiCS,C2H5OH_MiCS,VOC_MiCS
0.0,0.908,0.663,0.174,0.045,1.508,0.842,0.4
0.25,0.909,0.664,0.176,0.046,1.596,0.907,0.427
0.5,0.912,0.663,0.178,0.047,1.655,0.952,0.445
0.75,0.913,0.664,0.18,0.051,1.746,1.02,0.472
1.0,0.916,0.664,0.182,0.053,1.596,0.907,0.427
1.25,0.917,0.664,0.183,0.054,1.596,0.907,0.427
1.5,0.916,0.665,0.185,0.055,1.596,0.907,0.427
1.75,0.918,0.663,0.188,0.056,1.685,0.974,0.454
2.0,0.918,0.664,0.19,0.057,1.596,0.907,0.427
2.25,0.919,0.665,0.192,0.058,1.596,0.907,0.427
2.5,0.921,0.665,0.194,0.058,1.625,0.929,0.436
2.75,0.922,0.665,0.197,0.059,1.685,0.974,0.454
3.0,0.922,0.665,0.199,0.06,1.715,0.997,0.463
3.25,0.923,0.665,0.202,0.061,1.746,1.02,0.472
3.5,0.925,0.666,0.204,0.062,1.746,1.02,0.472
3.75,0.926,0.666,0.206,0.062,1.776,1.043,0.482
4.0,0.926,0.665,0.208,0.063,1.806,1.067,0.491
4.25,0.928,0.665,0.21,0.064,1.806,1.067,0.491
4.5,0.929,0.666,0.212,0.065,1.837,1.091,0.5
4.75,0.928,0.665,0.215,0.065,1.837,1.091,0.5
5.0,0.928,0.665,0.217,0.065,1.837,1.091,0.5
5.25,0.93,0.665,0.218,0.066,1.868,1.115,0.51
5.5,0.93,0.666,0.221,0.066,1.868,1.115,0.51
5.75,0.931,0.666,0.223,0.066,1.868,1.115,0.51
6.0,0.93,0.665,0.224,0.066,1.868,1.115,0.51
6.25,0.932,0.666,0.227,0.066,1.899,1.139,0.52
6.5,0.93,0.666,0.228,0.066,1.868,1.115,0.51
6.75,0.932,0.666,0.23,0.067,1.868,1.115,0.51
7.0,0.932,0.666,0.231,0.066,1.868,1.115,0.51
7.25,0.932,0.666,0.233,0.067,1.961,1.188,0.539
7.5,0.932,0.666,0.235,0.066,1.868,1.115,0.51
7.75,0.933,0.666,0.236,0.066,1.868,1.115,0.51
8.0,0.932,0.667,0.238,0.067,1.868,1.115,0.51
8.25,0.932,0.666,0.239,0.067,1.868,1.115,0.51
8.5,0.933,0.667,0.24,0.066,1.868,1.115,0.51
8.75,0.932,0.667,0.242,0.066,1.868,1.115,0.51
9.0,0.933,0.667,0.244,0.066,1.868,1.115,0.51
9.25,0.933,0.667,0.245,0.067,1.868,1.115,0.51
9.5,0.934,0.669,0.246,0.066,1.899,1.139,0.52
9.75,0.933,0.667,0.246,0.066,1.868,1.115,0.51
10.0,0.933,0.668,0.248,0.066,1.899,1.139,0.52
10.25,0.934,0.667,0.249,0.066,1.961,1.188,0.539
10.5,0.933,0.667,0.25,0.066,1.899,1.139,0.52
10.75,0.932,0.667,0.251,0.066,1.868,1.115,0.51
11.0,0.933,0.667,0.252,0.066,1.899,1.139,0.52
11.25,0.932,0.667,0.253,0.066,1.899,1.139,0.52
11.5,0.932,0.668,0.256,0.066,1.899,1.139,0.52
11.75,0.932,0.668,0.256,0.066,1.899,1.139,0.52
12.0,0.933,0.668,0.258,0.066,1.899,1.139,0.52
12.25,0.933,0.669,0.259,0.066,1.899,1.139,0.52
12.5,0.933,0.668,0.26,0.066,1.93,1.163,0.529
12.75,0.933,0.668,0.261,0.066,1.899,1.139,0.52
13.0,0.933,0.668,0.261,0.066,1.93,1.163,0.529
13.25,0.933,0.669,0.263,0.066,2.024,1.238,0.558
13.5,0.934,0.668,0.264,0.066,1.93,1.163,0.529
13.75,0.933,0.669,0.264,0.066,1.93,1.163,0.529
14.0,0.933,0.669,0.266,0.065,1.93,1.163,0.529
14.25,0.933,0.668,0.268,0.065,1.93,1.163,0.529
14.5,0.933,0.669,0.268,0.066,1.93,1.163,0.529
14.75,0.933,0.668,0.269,0.066,1.93,1.163,0.529
15.0,0.933,0.669,0.27,0.066,1.93,1.163,0.529
15.25,0.933,0.669,0.271,0.066,1.961,1.188,0.539
15.5,0.933,0.668,0.272,0.066,1.961,1.188,0.539
15.75,0.934,0.669,0.274,0.066,1.992,1.213,0.549
16.0,0.933,0.669,0.274,0.065,1.992,1.213,0.549
16.25,0.933,0.669,0.274,0.066,1.992,1.213,0.549
16.5,0.933,0.669,0.276,0.066,1.992,1.213,0.549
16.75,0.934,0.67,0.276,0.066,1.992,1.213,0.549
17.0,0.933,0.669,0.277,0.066,1.992,1.213,0.549
17.25,0.934,0.669,0.277,0.066,1.992,1.213,0.549
17.5,0.934,0.67,0.279,0.065,1.961,1.188,0.539
17.75,0.935,0.67,0.279,0.066,1.961,1.188,0.539
18.0,0.934,0.67,0.281,0.066,2.056,1.263,0.568
18.25,0.933,0.67,0.28,0.065,1.992,1.213,0.549
18.5,0.934,0.67,0.282,0.065,1.992,1.213,0.549
18.75,0.934,0.671,0.283,0.066,1.992,1.213,0.549
19.0,0.936,0.672,0.284,0.065,1.992,1.213,0.549
19.25,0.935,0.671,0.284,0.065,1.992,1.213,0.549
19.5,0.934,0.672,0.284,0.065,2.024,1.238,0.558
19.75,0.934,0.671,0.285,0.065,1.992,1.213,0.549
20.0,0.935,0.67,0.285,0.065,1.992,1.213,0.549
20.25,0.934,0.67,0.286,0.066,2.056,1.263,0.568
20.5,0.935,0.672,0.288,0.065,1.992,1.213,0.549
20.75,0.937,0.673,0.289,0.065,2.024,1.238,0.558
21.0,0.935,0.672,0.288,0.065,2.024,1.238,0.558
21.25,0.936,0.672,0.289,0.065,2.024,1.238,0.558
21.5,0.935,0.67,0.289,0.065,2.024,1.238,0.558
21.75,0.934,0.672,0.29,0.066,2.024,1.238,0.558
22.0,0.934,0.672,0.291,0.065,2.024,1.238,0.558
22.25,0.934,0.672,0.291,0.065,2.024,1.238,0.558
22.5,0.935,0.672,0.292,0.066,2.024,1.238,0.558
22.75,0.935,0.672,0.292,0.065,2.024,1.238,0.558
23.0,0.934,0.672,0.292,0.065,2.024,1.238,0.558
23.25,0.933,0.67,0.293,0.065,2.024,1.238,0.558
23.5,0.934,0.671,0.293,0.065,2.056,1.263,0.568
23.75,0.934,0.672,0.294,0.065,2.024,1.238,0.558
24.0,0.934,0.672,0.295,0.065,2.024,1.238,0.558
24.25,0.935,0.672,0.296,0.065,2.024,1.238,0.558
24.5,0.935,0.673,0.296,0.065,2.024,1.238,0.558
24.75,0.934,0.672,0.296,0.064,2.024,1.238,0.558
25.0,0.934,0.673,0.296,0.065,2.024,1.238,0.558
25.25,0.934,0.673,0.298,0.065,2.024,1.238,0.558
25.5,0.936,0.673,0.297,0.064,2.024,1.238,0.558
25.75,0.937,0.673,0.298,0.065,1.992,1.213,0.549
26.0,0.936,0.674,0.299,0.065,2.024,1.238,0.558
26.25,0.936,0.673,0.3,0.065,2.024,1.238,0.558
26.5,0.935,0.673,0.301,0.065,2.024,1.238,0.558
26.75,0.937,0.673,0.301,0.065,2.024,1.238,0.558
27.0,0.935,0.672,0.302,0.065,2.056,1.263,0.568
27.25,0.935,0.674,0.302,0.065,1.992,1.213,0.549
27.5,0.935,0.673,0.303,0.066,2.056,1.263,0.568
27.75,0.936,0.673,0.304,0.066,2.056,1.263,0.568
28.0,0.936,0.673,0.305,0.066,2.056,1.263,0.568
28.25,0.936,0.673,0.306,0.067,2.024,1.238,0.558
28.5,0.937,0.674,0.307,0.066,2.087,1.289,0.578
28.75,0.936,0.673,0.308,0.067,2.087,1.289,0.578
29.0,0.937,0.673,0.308,0.066,2.087,1.289,0.578
29.25,0.937,0.673,0.309,0.066,2.087,1.289,0.578
29.5,0.936,0.673,0.31,0.066,2.056,1.263,0.568
29.75,0.936,0.674,0.311,0.066,2.087,1.289,0.578
30.0,0.937,0.673,0.311,0.066,2.056,1.263,0.568
30.25,0.936,0.673,0.312,0.066,2.056,1.263,0.568
30.5,0.936,0.673,0.313,0.066,2.024,1.238,0.558
30.75,0.937,0.673,0.314,0.067,2.087,1.289,0.578
31.0,0.936,0.673,0.314,0.066,2.119,1.315,0.588
31.25,0.937,0.674,0.315,0.066,2.087,1.289,0.578
31.5,0.937,0.674,0.316,0.066,2.056,1.263,0.568
31.75,0.937,0.674,0.316,0.066,2.056,1.263,0.568
32.0,0.936,0.674,0.316,0.066,2.087,1.289,0.578
32.25,0.937,0.673,0.316,0.066,2.087,1.289,0.578
32.5,0.937,0.674,0.317,0.067,2.087,1.289,0.578
32.75,0.935,0.674,0.318,0.066,2.119,1.315,0.588
33.0,0.937,0.674,0.318,0.066,2.087,1.289,0.578
33.25,0.937,0.673,0.32,0.066,2.087,1.289,0.578
33.5,0.937,0.674,0.32,0.066,2.087,1.289,0.578
33.75,0.938,0.675,0.322,0.066,2.119,1.315,0.588
34.0,0.938,0.674,0.32,0.067,2.151,1.341,0.598
34.25,0.935,0.673,0.321,0.067,2.151,1.341,0.598
34.5,0.936,0.673,0.322,0.067,2.151,1.341,0.598
34.75,0.937,0.673,0.323,0.067,2.119,1.315,0.588
35.0,0.936,0.674,0.322,0.066,2.119,1.315,0.588
35.25,0.935,0.673,0.324,0.066,2.119,1.315,0.588
35.5,0.935,0.673,0.324,0.066,2.087,1.289,0.578
35.75,0.935,0.673,0.325,0.066,2.151,1.341,0.598
36.0,0.934,0.673,0.326,0.066,2.087,1.289,0.578
36.25,0.935,0.673,0.326,0.067,2.087,1.289,0.578
36.5,0.934,0.673,0.326,0.067,2.119,1.315,0.588
36.75,0.935,0.673,0.328,0.067,2.087,1.289,0.578
37.0,0.935,0.673,0.329,0.067,2.087,1.289,0.578
37.25,0.936,0.673,0.329,0.067,2.119,1.315,0.588
37.5,0.935,0.673,0.33,0.067,2.119,1.315,0.588
37.75,0.935,0.673,0.33,0.067,2.087,1.289,0.578
38.0,0.935,0.673,0.332,0.067,2.119,1.315,0.588
38.25,0.934,0.673,0.33,0.067,2.087,1.289,0.578
38.5,0.935,0.672,0.332,0.067,2.151,1.341,0.598
38.75,0.934,0.673,0.332,0.067,2.087,1.289,0.578
39.0,0.934,0.673,0.332,0.066,2.184,1.367,0.609
39.25,0.934,0.673,0.333,0.066,2.216,1.394,0.619
39.5,0.934,0.673,0.334,0.067,2.184,1.367,0.609
39.75,0.935,0.674,0.334,0.067,2.151,1.341,0.598
40.0,0.934,0.673,0.336,0.067,2.151,1.341,0.598
40.25,0.935,0.674,0.336,0.067,2.119,1.315,0.588
40.5,0.935,0.674,0.337,0.067,2.119,1.315,0.588
40.75,0.938,0.674,0.338,0.067,2.184,1.367,0.609
41.0,0.938,0.675,0.338,0.066,2.216,1.394,0.619
41.25,0.94,0.676,0.34,0.067,2.151,1.341,0.598
41.5,0.938,0.675,0.34,0.067,2.184,1.367,0.609
41.75,0.94,0.675,0.341,0.067,2.184,1.367,0.609
42.0,0.939,0.674,0.341,0.066,2.184,1.367,0.609
42.25,0.94,0.675,0.342,0.067,2.216,1.394,0.619
42.5,0.938,0.676,0.342,0.067,2.216,1.394,0.619
42.75,0.939,0.676,0.343,0.067,2.216,1.394,0.619
43.0,0.938,0.674,0.343,0.067,2.216,1.394,0.619
43.25,0.938,0.675,0.343,0.067,2.216,1.394,0.619
43.5,0.938,0.675,0.344,0.067,2.216,1.394,0.619
43.75,0.938,0.676,0.345,0.067,2.216,1.394,0.619
44.0,0.938,0.674,0.345,0.067,2.216,1.394,0.619
44.25,0.938,0.675,0.345,0.067,2.216,1.394,0.619
44.5,0.938,0.676,0.346,0.067,2.216,1.394,0.619
44.75,0.938,0.675,0.345,0.067,2.216,1.394,0.619
45.0,0.938,0.674,0.346,0.067,2.216,1.394,0.619
45.25,0.937,0.674,0.346,0.067,2.184,1.367,0.609
45.5,0.938,0.675,0.346,0.067,2.184,1.367,0.609
45.75,0.937,0.675,0.347,0.067,2.184,1.367,0.609
46.0,0.937,0.675,0.347,0.067,2.184,1.367,0.609
46.25,0.937,0.674,0.348,0.067,2.184,1.367,0.609
46.5,0.94,0.677,0.349,0.067,2.314,1.475,0.65
46.75,0.938,0.675,0.349,0.067,2.184,1.367,0.609
47.0,0.94,0.676,0.35,0.068,2.184,1.367,0.609
47.25,0.935,0.674,0.35,0.067,2.184,1.367,0.609
47.5,0.937,0.674,0.35,0.068,2.184,1.367,0.609
47.75,0.937,0.675,0.352,0.067,2.184,1.367,0.609
48.0,0.939,0.676,0.352,0.068,2.184,1.367,0.609
48.25,0.939,0.676,0.352,0.067,2.184,1.367,0.609
48.5,0.938,0.674,0.353,0.067,2.184,1.367,0.609
48.75,0.936,0.673,0.352,0.067,2.184,1.367,0.609
49.0,0.935,0.673,0.352,0.067,2.184,1.367,0.609
49.25,0.935,0.673,0.352,0.067,2.184,1.367,0.609
49.5,0.937,0.674,0.352,0.067,2.184,1.367,0.609
49.75,0.935,0.675,0.352,0.067,2.151,1.341,0.598
50.0,0.935,0.674,0.352,0.067,2.151,1.341,0.598
50.25,0.937,0.675,0.353,0.067,2.151,1.341,0.598
50.5,0.937,0.675,0.352,0.067,2.151,1.341,0.598
50.75,0.937,0.674,0.352,0.066,2.151,1.341,0.598
51.0,0.937,0.675,0.351,0.066,2.151,1.341,0.598
51.25,0.935,0.674,0.35,0.066,2.151,1.341,0.598
51.5,0.938,0.676,0.351,0.066,2.151,1.341,0.598
51.75,0.935,0.675,0.349,0.066,2.151,1.341,0.598
52.0,0.935,0.674,0.349,0.066,2.151,1.341,0.598
52.25,0.936,0.674,0.351,0.065,2.151,1.341,0.598
52.5,0.935,0.674,0.351,0.066,2.184,1.367,0.609
52.75,0.937,0.674,0.352,0.066,2.216,1.394,0.619
53.0,0.936,0.674,0.352,0.066,2.248,1.42,0.629
53.25,0.938,0.675,0.353,0.066,2.216,1.394,0.619
53.5,0.935,0.674,0.353,0.067,2.216,1.394,0.619
53.75,0.937,0.674,0.354,0.066,2.216,1.394,0.619
54.0,0.937,0.674,0.354,0.067,2.184,1.367,0.609
54.25,0.937,0.673,0.354,0.067,2.184,1.367,0.609
54.5,0.937,0.676,0.356,0.066,2.184,1.367,0.609
54.75,0.937,0.675,0.357,0.067,2.184,1.367,0.609
55.0,0.938,0.674,0.356,0.068,2.184,1.367,0.609
55.25,0.938,0.676,0.356,0.067,2.216,1.394,0.619
55.5,0.938,0.676,0.358,0.067,2.216,1.394,0.619
55.75,0.938,0.675,0.357,0.067,2.216,1.394,0.619
56.0,0.937,0.676,0.358,0.068,2.248,1.42,0.629
56.25,0.937,0.675,0.359,0.068,2.216,1.394,0.619
56.5,0.939,0.676,0.359,0.068,2.248,1.42,0.629
56.75,0.939,0.675,0.359,0.067,2.281,1.447,0.64
57.0,0.94,0.675,0.36,0.068,2.281,1.447,0.64
57.25,0.938,0.676,0.361,0.068,2.216,1.394,0.619
57.5,0.94,0.676,0.362,0.068,2.248,1.42,0.629
57.75,0.94,0.676,0.362,0.068,2.248,1.42,0.629
58.0,0.94,0.676,0.362,0.068,2.248,1.42,0.629
58.25,0.939,0.676,0.364,0.067,2.281,1.447,0.64
58.5,0.938,0.676,0.364,0.068,2.248,1.42,0.629
58.75,0.94,0.676,0.364,0.068,2.248,1.42,0.629
59.0,0.939,0.676,0.364,0.068,2.248,1.42,0.629
59.25,0.94,0.676,0.365,0.068,2.281,1.447,0.64
59.5,0.94,0.676,0.365,0.068,2.248,1.42,0.629
59.75,0.94,0.676,0.365,0.068,2.248,1.42,0.629
60.0,0.94,0.676,0.366,0.068,2.248,1.42,0.629
60.25,0.94,0.676,0.366,0.068,2.248,1.42,0.629
60.5,0.939,0.677,0.366,0.068,2.248,1.42,0.629
60.75,0.94,0.677,0.367,0.068,2.248,1.42,0.629
61.0,0.94,0.676,0.367,0.068,2.248,1.42,0.629
61.25,0.939,0.677,0.367,0.068,2.248,1.42,0.629
61.5,0.939,0.677,0.368,0.068,2.248,1.42,0.629
61.75,0.94,0.677,0.369,0.068,2.248,1.42,0.629
62.0,0.941,0.677,0.369,0.068,2.248,1.42,0.629
62.25,0.942,0.678,0.369,0.068,2.216,1.394,0.619
62.5,0.941,0.678,0.37,0.068,2.248,1.42,0.629
62.75,0.941,0.678,0.369,0.068,2.216,1.394,0.619
63.0,0.941,0.677,0.369,0.068,2.248,1.42,0.629
63.25,0.94,0.677,0.368,0.067,2.248,1.42,0.629
63.5,0.941,0.678,0.368,0.067,2.216,1.394,0.619
63.75,0.94,0.678,0.367,0.068,2.184,1.367,0.609
64.0,0.942,0.678,0.367,0.067,2.119,1.315,0.588
64.25,0.941,0.679,0.366,0.067,2.119,1.315,0.588
64.5,0.939,0.678,0.367,0.067,2.151,1.341,0.598
64.75,0.941,0.678,0.366,0.066,2.184,1.367,0.609
65.0,0.941,0.678,0.367,0.067,2.248,1.42,0.629
65.25,0.941,0.677,0.366,0.067,2.248,1.42,0.629
65.5,0.942,0.678,0.368,0.068,2.281,1.447,0.64
65.75,0.941,0.678,0.368,0.067,2.281,1.447,0.64
66.0,0.941,0.677,0.368,0.067,2.248,1.42,0.629
66.25,0.942,0.677,0.369,0.067,2.248,1.42,0.629
66.5,0.941,0.677,0.368,0.067,2.248,1.42,0.629
66.75,0.94,0.676,0.37,0.068,2.216,1.394,0.619
67.0,0.942,0.677,0.37,0.067,2.248,1.42,0.629
67.25,0.941,0.678,0.37,0.067,2.248,1.42,0.629
67.5,0.94,0.677,0.37,0.067,2.248,1.42,0.629
67.75,0.941,0.677,0.37,0.067,2.248,1.42,0.629
68.0,0.939,0.677,0.37,0.067,2.248,1.42,0.629
68.25,0.941,0.677,0.371,0.067,2.184,1.367,0.609
68.5,0.94,0.677,0.37,0.067,2.151,1.341,0.598
68.75,0.94,0.677,0.37,0.068,2.184,1.367,0.609
69.0,0.941,0.678,0.37,0.067,2.151,1.341,0.598
69.25,0.939,0.676,0.371,0.068,2.151,1.341,0.598
69.5,0.94,0.677,0.372,0.067,2.151,1.341,0.598
69.75,0.94,0.677,0.371,0.067,2.151,1.341,0.598
70.0,0.939,0.677,0.37,0.067,2.151,1.341,0.598
70.25,0.939,0.676,0.37,0.067,2.151,1.341,0.598
70.5,0.94,0.677,0.372,0.067,2.119,1.315,0.588
70.75,0.939,0.677,0.372,0.067,2.119,1.315,0.588
71.0,0.941,0.677,0.372,0.066,2.056,1.263,0.568
71.25,0.939,0.677,0.371,0.066,2.056,1.263,0.568
71.5,0.941,0.677,0.37,0.067,2.056,1.263,0.568
71.75,0.94,0.677,0.372,0.066,2.024,1.238,0.558
72.0,0.941,0.677,0.372,0.067,2.024,1.238,0.558
72.25,0.939,0.677,0.372,0.067,2.024,1.238,0.558
72.5,0.94,0.676,0.372,0.067,2.024,1.238,0.558
72.75,0.94,0.676,0.37,0.066,2.024,1.238,0.558
73.0,0.939,0.676,0.37,0.066,1.992,1.213,0.549
73.25,0.94,0.676,0.371,0.066,1.992,1.213,0.549
73.5,0.939,0.677,0.37,0.066,2.024,1.238,0.558
73.75,0.938,0.676,0.37,0.065,1.992,1.213,0.549
74.0,0.938,0.677,0.369,0.065,1.93,1.163,0.529
